TYPE,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI,ADI,AEI
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,0,4.997,1970-01-01,0:00:00,0,0.939138,208.475192,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.931693,193.821917,2.301244,0.026664
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.923015,180.026356,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.933746,205.091131,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.902911,191.468523,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.956975,192.464325,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.956554,190.909519,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.961003,195.666191,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.920938,210.68866,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.909121,187.335552,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.843379,175.77527,2.302585,0
URCHINS_BARE ROCK,Bare_Rock_Urchins,HydroMoth0_Bare_Rock_Urchin Grazing.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.804653,169.054422,2.300539,0.033567
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,0,4.997,1970-01-01,0:00:00,0,0.720883,151.863682,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.705482,152.373287,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.711894,151.911046,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.709489,151.950798,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.740818,153.079926,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.71772,151.565892,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.719802,152.005459,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.718281,152.106432,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.708288,152.107548,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.737878,152.818347,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.707393,152.681667,2.302585,0
NO URCHINS_BARE ROCK,Bare_Rock_No Urchins,HydroMoth0_Bare_Rock_No Urchin.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.707489,151.297994,2.302585,0
