TYPE,IN FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI,ADI,AEI
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,0,4.997,1970-01-01,0:00:00,0,0.864855,168.428398,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.943451,184.674064,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.960319,170.148818,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.96635,176.708157,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.83445,174.203005,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.947917,183.195145,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.892849,180.866701,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.888715,171.870545,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.865774,168.905357,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.861535,172.882229,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.865086,166.523758,2.302585,0
URCHIN_KELP,Kelp_Grazing_Urchin_Snip.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.901868,174.085992,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,0,4.997,1970-01-01,0:00:00,0,0.717583,153.09262,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,4.997,4.997,1970-01-01,0:00:05,0,0.7053,153.023656,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,9.995,4.997,1970-01-01,0:00:10,0,0.711905,152.859788,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,14.992,4.997,1970-01-01,0:00:15,0,0.72098,151.829097,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,19.989,4.997,1970-01-01,0:00:20,0,0.712258,152.207294,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,24.987,4.997,1970-01-01,0:00:25,0,0.703313,152.954979,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,29.984,4.997,1970-01-01,0:00:30,0,0.712133,152.458526,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,34.981,4.997,1970-01-01,0:00:35,0,0.714046,152.069021,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,39.979,4.997,1970-01-01,0:00:40,0,0.704722,152.398052,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,44.976,4.997,1970-01-01,0:00:45,0,0.707641,152.392278,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,49.973,4.997,1970-01-01,0:00:50,0,0.703603,151.277787,2.302585,0
NO URCHIN_KELP,Kelp_Grazing_No Urchin_Snip.wav,0,54.971,4.997,1970-01-01,0:00:55,0,0.687844,153.006737,2.302585,0
