TYPE,Agarum clathratum,Agarum fibriatum,Alaria marginata,"Apostichopus californicus, California cucumber","Boltenia villosa, stalked tunicate",Cancer crab spp.,"Ceratostoma foliatum, Leafy  hornmouth","Cnemidocarpa finmarkiensis, small, smooth orange tunicate",Constantinea,Costaria costata,"Crassedoma giganteum, rock scallop",Cribinopsis albopunctatus (vertical white spots),"Cryptochiton stelleri, gumboot chiton","Cryptolithoides sitchensis, umbrella crab","Cucumaria miniata, orange sea cucumber",Cymathaere triplicata,"Dermasterias imbricata, leather star","Evasterias troschellii, False ochre star","Haliotis kamtschatkana, pinto abalone","Halocynthia aurantium, sea peach","Halocynthis igaboja, sea hedgehog",Heart crab (Phyllolithodes pappilosus),Hedophylum nigripes,"Henricia spp, blood star",Laminaria setchellii,Laminariales spp. Juvenile (<1m),Macrocystis Juvenile (<1m),Macrocystis Pyrifera Adults (>1m),Nereocystis Juvenile (<20cm),Nereocystis Leutkeana,Opuntiella,"Orthasterias koehleri, rainbow star","Pagaurus spp, any hermit crab","Pisaster ochraceous, ochre star",Pleurophycus gardneri,"Pugettia producta, kelp crab","Pycnopodia helianthoides, sunflower star",Saccarina latissima,"Scyra/Oregonia, Decorator crab",SNAIL,"Solaster pacificus, pacific sun star","Strongylocentrotus franciscanus, red urchin","Strongylocentrotus, green urchin","Urticina coriacea, stubby rose anemone","Urticina grebelnyi, Christmas anemone",,YEAR,TYPE,SITE,SEASON,TRANSECT,SEGMENT OF THE TRANSECT
BARREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,40,6,1,,2025,BARREN,HARRIS ISLAND,SUMMER,1,0-10m
BARREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.89690722,241.6666667,0,0,,2025,BARREN,HARRIS ISLAND,SUMMER,1,10-20m
BARREN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.54545455,77.5,0,0,,2025,BARREN,HARRIS ISLAND,SUMMER,1,20-30m
BARREN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,1133.333333,0,0,,2025,BARREN,HARRIS ISLAND,SUMMER,2,0-10m
BARREN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,27,168.4210526,0,0,,2025,BARREN,HARRIS ISLAND,SUMMER,2,10-20m
BARREN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,168.4210526,0,0,,2025,BARREN,HARRIS ISLAND,SUMMER,2,20-30m
BARREN,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,60.86956522,65.90909091,0,0,,2025,BARREN,SAMSING COVE,SUMMER,1,0-10m
BARREN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,37.5,37.5,0,0,,2025,BARREN,SAMSING COVE,SUMMER,1,10-20m
BARREN,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,18,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,56.60377358,0,0,,2025,BARREN,SAMSING COVE,SUMMER,1,20-30m
BARREN,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,50,88.23529412,0,0,,2025,BARREN,SAMSING COVE,SUMMER,2,0-10m
BARREN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,48,90,0,0,,2025,BARREN,SAMSING COVE,SUMMER,2,10-20m
BARREN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,50,76.31578947,0,0,,2025,BARREN,SAMSING COVE,SUMMER,2,20-30m
