YEAR,MONTH,DAY,TIME,SEASON,SITE,TYPE,OBSERVER,BUDDY,TRANSECT,HEADING OUT,Start Depth [0 meter of transect tape](m):,End Depth [30 meter of transect tape] (m):,SEGMENT OF THE TRANSECT,SUBSTRATE 1,SUBSTRATE 2,SUBSTRATE 3,SUBSTRATE 4,SUBSTRATE 5,RELIEF 1,RELIEF 2,RELIEF 3,RELIEF 4,RELIEF 5,SUPERLAYER 1,SUPERLAYER 2,SUPERLAYER 3,SUPERLAYER 4,SUPERLAYER 5,COVER 1,COVER 2,COVER 3,COVER 4,COVER 5,notes,problems
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,0-5m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Red algae (leaf-like),Red algae -Encrusting,Red algae -Encrusting,articulated coralline,Macrosystis holdfast (alive),,
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,05-10m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,10cm-1m,10cm-1m,10cm-1m,10cm-1m,NONE,NONE,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Dictyotales spp.' Dictyotales,,,
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,1m-2m,1m-2m,1m-2m,1m-2m,AGAFIB,HEDONI,NONE,NONE,NONE,Red algae (branching flat blade),Red algae (branching flat blade),Red algae -Encrusting,Coralline algae -Crustose,Dictyotales spp.' Dictyotales,,
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,10-15m,BEDRK,BEDRK,BEDRK,BOULD,BOULD,10cm-1m,10cm-1m,1m-2m,1m-2m,1m-2m,DRIFT,AGACLA,HEDONI,NONE,NONE,Red algae (lacy branching),Red algae (lacy branching),Coralline algae -Crustose,articulated coralline,articulated coralline,,
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,20-25m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,10cm-1m,1m-2m,>2m,>2m,>2m,NONE,NONE,NONE,NONE,NONE,Red algae (leaf-like),Red algae (lacy branching),Red algae (lacy branching),encrusting brown,Tunicate -Solitary,,
2025,8,12,12:00,SUMMER,MIDDLE ISLAND,MACRO,Caleigh Quist,Haleigh Yang,2,150,5.6,8.1,25-30m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,0-10cm,0-10cm,10cm-1m,DRIFT,NONE,NONE,NONE,NONE,Red algae (lacy branching),Red algae (lacy branching),Red algae (lacy branching),Red algae -Encrusting,Coralline algae -Crustose,,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,0-5m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,DRIFT,AGAFIB,AGACLA,NONE,NONE,Red algae (lacy branching),Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,05-10m,BEDRK,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,1m-2m,10cm-1m,10cm-1m,10cm-1m,NONE,AGAFIB,AGACLA,NONE,NONE,Bare Rock,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,10-15m,BOULD,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,0-10cm,10cm-1m,1m-2m,DRIFT,LAMSET,NONE,NONE,NONE,articulated coralline,Red algae -Encrusting,Red algae -Encrusting,Red algae (leaf-like),Shell Debris,,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,15-20m,BOULD,BEDRK,BEDRK,BEDRK,BEDRK,0-10cm,0-10cm,10cm-1m,10cm-1m,1m-2m,AGACLA,NONE,NONE,NONE,NONE,articulated coralline,Coralline algae -Crustose,Red algae -Encrusting,Red algae -Encrusting,Red algae (leaf-like),,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,20-25m,BEDRK,BEDRK,BEDRK,BEDRK,BOULD,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,AGAFIB,AGACLA,NONE,NONE,NONE,Bare Sand,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,,
2025,8,7,12:00,SUMMER,MIDDLE ISLAND,MACRO,Niki Sridhar,Jake Metzger,1,330,8.6,8.9,25-30m,BEDRK,BEDRK,BEDRK,BEDRK,SAND,0-10cm,0-10cm,10cm-1m,10cm-1m,10cm-1m,DRIFT,NONE,NONE,NONE,NONE,Red algae -Encrusting,Red algae -Encrusting,Coralline algae -Crustose,Coralline algae -Crustose,Coralline algae -Crustose,,
